Name,Symbol
Astrazeneca, AZN.L
Diageo, DGE.L
GSK, GSK.L
Intertek, ITRK.L
Sage, SGE.L
3i Infrastructure,3IN.L
4imprint,FOUR.L
888 Holdings,888.L
Aberforth Smaller Companies Trust,ASL.L
Aggreko,AGK.L
Airtel Africa,AAF.L
Alliance Trust,ATST.L
Allianz Technology Trust,ATT.L
AO World,AO..L
Apax Global Alpha,APAX.L
Ascential,ASCL.L
Ashmore Group,ASHM.L
Assura,AGR.L
Aston Martin Lagonda,AML.L
AVI Global Trust,AGT.L
Avon Rubber,AVON.L
Babcock International,BAB.L
Baillie Gifford Japan Trust,BGFD.L
Baillie Gifford Shin Nippon,BGS.L
Baillie Gifford US Growth Trust,USA.L
Balfour Beatty,BBY.L
Bankers Investment Trust,BNKR.L
BBGI,BBGI.L
BB Healthcare Trust,BBH.L
Beazley Group,BEZ.L
AJ Bell,AJB.L
Bellway,BWY.L
Biffa,BIFF.L
Big Yellow Group,BYG.L
BlackRock Smaller Companies Trust,BRSC.L
BlackRock World Mining Trust,BRWM.L
BMO Commercial Property Trust,BCPT.L
BMO Global Smaller Companies,BGSC.L
Bodycote,BOY.L
Brewin Dolphin Holdings,BRW.L
Britvic,BVIC.L
C&C Group,CCR.L
Cairn Energy,CNE.L
Caledonia Investments,CLDN.L
Calisen,CLSN.L
Capita,CPI.L
Capital & Counties Properties,CAPC.L
Carnival Corporation & plc,CCL.L
Centamin,CEY.L
Centrica,CNA.L
Chemring Group,CHG.L
Cineworld,CINE.L
City of London Investment Trust,CTY.L
Civitas Social Housing,CSH.L
Clarkson,CKN.L
Close Brothers Group,CBG.L
CLS Holdings,CLI.L
CMC Markets,CMCX.L
Coats,COA.L
Computacenter,CCC.L
ContourGlobal,GLO.L
ConvaTec,CTEC.L
Countryside Properties,CSP.L
Cranswick,CWK.L
Crest Nicholson,CRST.L
Dechra Pharmaceuticals,DPH.L
Derwent London,DLN.L
Diploma,DPLM.L
Direct Line Group,DLG.L
Diversified Gas & Oil,DGOC.L
Dixons Carphone,DC..L
Domino's Pizza,DOM.L
Drax Group,DRX.L
Dunelm Group,DNLM.L
